zone	region	ID
"Vallée du Fleuve Sénégal"	"St-Louis"	154
"Vallée du Fleuve Sénégal"	"St-Louis"	155
"Vallée du Fleuve Sénégal"	"St-Louis"	156
"Vallée du Fleuve Sénégal"	"St-Louis"	157
"Vallée du Fleuve Sénégal"	"St-Louis"	158
"Vallée du Fleuve Sénégal"	"St-Louis"	159
"Vallée du Fleuve Sénégal"	"St-Louis"	160
"Vallée du Fleuve Sénégal"	"St-Louis"	161
"Vallée du Fleuve Sénégal"	"St-Louis"	162
"Vallée du Fleuve Sénégal"	"St-Louis"	163
"Vallée du Fleuve Sénégal"	"St-Louis"	164
"Vallée du Fleuve Sénégal"	"St-Louis"	165
"Vallée du Fleuve Sénégal"	"St-Louis"	166
"Vallée du Fleuve Sénégal"	"St-Louis"	167
"Vallée du Fleuve Sénégal"	"St-Louis"	168
"Vallée du Fleuve Sénégal"	"St-Louis"	169
"Vallée du Fleuve Sénégal"	"St-Louis"	170
"Vallée du Fleuve Sénégal"	"St-Louis"	171
"Vallée du Fleuve Sénégal"	"St-Louis"	172
"Vallée du Fleuve Sénégal"	"St-Louis"	173
"Vallée du Fleuve Sénégal"	"St-Louis"	174
"Vallée du Fleuve Sénégal"	"St-Louis"	175
"Vallée du Fleuve Sénégal"	"St-Louis"	176
"Vallée du Fleuve Sénégal"	"St-Louis"	177
"Vallée du Fleuve Sénégal"	"St-Louis"	178
"Vallée du Fleuve Sénégal"	"St-Louis"	179
"Vallée du Fleuve Sénégal"	"St-Louis"	180
"Vallée du Fleuve Sénégal"	"St-Louis"	181
"Vallée du Fleuve Sénégal"	"St-Louis"	182
"Vallée du Fleuve Sénégal"	"St-Louis"	183
"Vallée du Fleuve Sénégal"	"St-Louis"	184
"Vallée du Fleuve Sénégal"	"St-Louis"	185
"Vallée du Fleuve Sénégal"	"St-Louis"	186
"Vallée du Fleuve Sénégal"	"St-Louis"	187
"Vallée du Fleuve Sénégal"	"St-Louis"	188
"Vallée du Fleuve Sénégal"	"St-Louis"	189
"Vallée du Fleuve Sénégal"	"St-Louis"	190
"Vallée du Fleuve Sénégal"	"St-Louis"	191
"Vallée du Fleuve Sénégal"	"St-Louis"	192
"Vallée du Fleuve Sénégal"	"St-Louis"	193
"Vallée du Fleuve Sénégal"	"St-Louis"	194
"Vallée du Fleuve Sénégal"	"St-Louis"	195
"Vallée du Fleuve Sénégal"	"St-Louis"	196
"Bassin Arachidier"	"Kaolack"	197
"Bassin Arachidier"	"Kaolack"	198
"Bassin Arachidier"	"Kaolack"	199
"Bassin Arachidier"	"Kaolack"	200
"Bassin Arachidier"	"Kaolack"	201
"Bassin Arachidier"	"Kaolack"	202
"Bassin Arachidier"	"Kaolack"	203
"Bassin Arachidier"	"Kaolack"	204
"Bassin Arachidier"	"Kaolack"	205
"Bassin Arachidier"	"Kaolack"	206
"Bassin Arachidier"	"Kaolack"	207
"Bassin Arachidier"	"Kaolack"	208
"Bassin Arachidier"	"Kaolack"	209
"Bassin Arachidier"	"Kaolack"	210
"Bassin Arachidier"	"Kaolack"	211
"Bassin Arachidier"	"Kaolack"	212
"Bassin Arachidier"	"Kaolack"	213
"Bassin Arachidier"	"Kaolack"	214
